id;id_embedded;url;name;season;number;type;airdate;airtime;airstamp;runtime;rating_average;medium;original;_links_self;_links_show;summary
2450906;55724;https://www.tvmaze.com/episodes/2450906/hocu-vse-znat-2x87-seria-87;Серия 87;2;87.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;12.0;;;;https://api.tvmaze.com/episodes/2450906;https://api.tvmaze.com/shows/55724;
2450907;55724;https://www.tvmaze.com/episodes/2450907/hocu-vse-znat-2x88-seria-88;Серия 88;2;88.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;12.0;;;;https://api.tvmaze.com/episodes/2450907;https://api.tvmaze.com/shows/55724;
2438114;59201;https://www.tvmaze.com/episodes/2438114/restoran-po-ponatiam-2x05-seria-15;Серия 15;2;5.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;30.0;;;;https://api.tvmaze.com/episodes/2438114;https://api.tvmaze.com/shows/59201;
2438115;59201;https://www.tvmaze.com/episodes/2438115/restoran-po-ponatiam-2x06-seria-16;Серия 16;2;6.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;30.0;;;;https://api.tvmaze.com/episodes/2438115;https://api.tvmaze.com/shows/59201;
2413779;60687;https://www.tvmaze.com/episodes/2413779/alisa-ne-mozet-zdat-1x08-8-seria;8 серия;1;8.0;regular;2022-12-01;12:00;2022-12-01T00:00:00+00:00;45.0;;;;https://api.tvmaze.com/episodes/2413779;https://api.tvmaze.com/shows/60687;
2323161;61880;https://www.tvmaze.com/episodes/2323161/zamerzsie-1x01-seria-1;Серия 1;1;1.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;50.0;;;;https://api.tvmaze.com/episodes/2323161;https://api.tvmaze.com/shows/61880;
2433627;61880;https://www.tvmaze.com/episodes/2433627/zamerzsie-1x02-seria-2;Серия 2;1;2.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;50.0;;;;https://api.tvmaze.com/episodes/2433627;https://api.tvmaze.com/shows/61880;
2433628;61880;https://www.tvmaze.com/episodes/2433628/zamerzsie-1x03-seria-3;Серия 3;1;3.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;50.0;;;;https://api.tvmaze.com/episodes/2433628;https://api.tvmaze.com/shows/61880;
2433629;61880;https://www.tvmaze.com/episodes/2433629/zamerzsie-1x04-seria-4;Серия 4;1;4.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;50.0;;;;https://api.tvmaze.com/episodes/2433629;https://api.tvmaze.com/shows/61880;
2433630;61880;https://www.tvmaze.com/episodes/2433630/zamerzsie-1x05-seria-5;Серия 5;1;5.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;50.0;;;;https://api.tvmaze.com/episodes/2433630;https://api.tvmaze.com/shows/61880;
2433631;61880;https://www.tvmaze.com/episodes/2433631/zamerzsie-1x06-seria-6;Серия 6;1;6.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;50.0;;;;https://api.tvmaze.com/episodes/2433631;https://api.tvmaze.com/shows/61880;
2433632;61880;https://www.tvmaze.com/episodes/2433632/zamerzsie-1x07-seria-7;Серия 7;1;7.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;50.0;;;;https://api.tvmaze.com/episodes/2433632;https://api.tvmaze.com/shows/61880;
2423288;63126;https://www.tvmaze.com/episodes/2423288/peregovorsik-1x06-seria-6;Серия 6;1;6.0;regular;2022-12-01;12:00;2022-12-01T00:00:00+00:00;42.0;;;;https://api.tvmaze.com/episodes/2423288;https://api.tvmaze.com/shows/63126;
2401158;64208;https://www.tvmaze.com/episodes/2401158/konec-sveta-1x07-strasnyj-sud;Страшный суд;1;7.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;53.0;;https://static.tvmaze.com/uploads/images/medium_landscape/432/1081693.jpg;https://static.tvmaze.com/uploads/images/original_untouched/432/1081693.jpg;https://api.tvmaze.com/episodes/2401158;https://api.tvmaze.com/shows/64208;
2424819;64267;https://www.tvmaze.com/episodes/2424819/s-nula-1x04-seria-04;Серия 04;1;4.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;45.0;;;;https://api.tvmaze.com/episodes/2424819;https://api.tvmaze.com/shows/64267;
2417608;64512;https://www.tvmaze.com/episodes/2417608/kungur-1x08-8-seria;8 серия;1;8.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;50.0;;;;https://api.tvmaze.com/episodes/2417608;https://api.tvmaze.com/shows/64512;
2417762;64738;https://www.tvmaze.com/episodes/2417762/pravo-na-svobodu-1x08-8-seria;8 серия;1;8.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;50.0;;;;https://api.tvmaze.com/episodes/2417762;https://api.tvmaze.com/shows/64738;
2440090;65481;https://www.tvmaze.com/episodes/2440090/a-slezu-za-toboj-1x01-seria-1;Серия 1;1;1.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;;;;;https://api.tvmaze.com/episodes/2440090;https://api.tvmaze.com/shows/65481;
2440091;65481;https://www.tvmaze.com/episodes/2440091/a-slezu-za-toboj-1x02-seria-2;Серия 2;1;2.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;;;;;https://api.tvmaze.com/episodes/2440091;https://api.tvmaze.com/shows/65481;
2476693;66583;https://www.tvmaze.com/episodes/2476693/neizvestnoe-budusee-1x01-seria-1;Серия 1;1;1.0;regular;2022-12-01;;2022-12-01T00:00:00+00:00;22.0;;;;https://api.tvmaze.com/episodes/2476693;https://api.tvmaze.com/shows/66583;
